SUID	alias	canonicalName	Column 1	Column 3	EnsId	GoDesc	GoId	InterDesc	InterId	KeggDesc	KeggId	MCODE_Cluster	MCODE_Node_Status	MCODE_Score	name	PsId	PsIdUniq	selected	shared name	SwId
101	CNOT2	CNOT2	CNOT2	CNOT2	ENSG00000111596	C:nucleus|F:RNA polymerase II transcription mediator ac...|P:regulation of global transcription from RNA...|C:extracellular region|C:extracellular space|F:kinase inhibitor activity|P:acute-phase response|P:negative regulation of bone mineralization|P:negative regulation of insulin receptor sig...|P:pinocytosis|P:positive regulation of phagocytosis|P:regulation of inflammatory response|P:skeletal development	5634|16455|6358|5576|5615|19210|6953|30502|46627|6907|50766|50727|1501	NOT|Prot_inh_cystat|Prot_inh_fetuin	IPR007282|IPR000010|IPR001363				Unclustered	0	CNOT2	210928_at|210929_s_at|217798_at|222181_at|222182_s_at|222313_at	222313_at	TRUE	CNOT2	Q6TKS8|Q6ZP62|Q9H3B4|Q9NZN8|P02765
104	MT2A	MT2A	MT2A	MT2A	ENSG00000125148	P:copper ion homeostasis	6878	GF_cysknot|Metallthion_|Metallthion_1	IPR002400|IPR003019|IPR000006			Cluster 4	Clustered	3,55556E+16	MT2A	212185_x_at	212185_x_at	TRUE	MT2A	P02795
107	NDUFA7	NDUFA7	NDUFA7	NDUFA7	ENSG00000167774	F:NADH dehydrogenase (ubiquinone) activity|C:mitochondrial inner membrane|P:ATP synthesis coupled electron transport	8137|5743|42773	CI-B14_5a	IPR009947	Oxidative phosphorylation	190		Unclustered	0	NDUFA7	202785_at	202785_at	TRUE	NDUFA7	O95182|Q32Q14|Q6FG42|Q6IB89
108	MT1X	MT1X	MT1X	MT1X	ENSG00000187193	F:metal ion binding|P:response to metal ion|F:electron carrier activity|F:iron ion binding|P:electron transport	46872|10038|9055|5506|6118	GF_cysknot|Metallthion_|Metallthion_1|4Fe4S_Fe_S_bd	IPR002400|IPR003019|IPR000006|IPR001450			Cluster 4	Clustered	3,55556E+16	MT1X	208581_x_at	208581_x_at	TRUE	MT1X	P80297|Q6PIN3|Q8N2W5|Q8WVB5
109	WDR45	WDR45	WDR45	WDR45	ENSG00000196998			WD40	IPR001680				Unclustered	108	WDR45	209216_at|209217_s_at|215553_x_at	215553_x_at	TRUE	WDR45	Q9Y484|---
110	RPS5	RPS5	RPS5	RPS5	ENSG00000173633	C:cytosolic small ribosomal subunit (sensu Eu...|F:RNA binding|F:structural constituent of ribosome|P:protein biosynthesis|C:small ribosomal subunit	5843|3723|3735|6412|15935	Ribosomal_S7|Ribosomal_S7e/a	IPR000235|IPR005716	Ribosome	3010	Cluster 11	Clustered	1,38776E+16	RPS5	200024_at	200024_at	TRUE	RPS5	P46782|Q53G25|Q59EK8
111	PHIP	PHIP	PHIP	PHIP	ENSG00000146247	F:protein binding|P:I-kappaB kinase/NF-kappaB cascade|F:insulin receptor binding|P:insulin receptor signaling pathway	5515|7249|5158|8286	Bromodomain|WD40|Reverse_transcriptase-related|DUF541	IPR001487|IPR001680|IPR015706|IPR007497				Unclustered	6,66667E+15	PHIP	212542_s_at|213074_at	213074_at	TRUE	PHIP	Q66I29|Q69YV1|Q8NBZ5|Q8WWQ0|Q96H52|Q96ME2|Q9H261|Q9NWP3|O60734|Q5VVH5
113	NFE2L2	NFE2L2	NFE2L2	NFE2L2	ENSG00000116044	F:protein binding|F:transcription factor activity|P:transcription from RNA polymerase II promoter|C:nucleus|F:protein dimerization activity|F:sequence-specific DNA binding|F:serine-type endopeptidase inhibitor activity|P:regulation of transcription, DNA-dependent	5515|3700|6366|5634|46983|43565|4867|6355	bZIP_1|TF_bZIP	IPR011616|IPR004827	Prion disease	5060		Unclustered	2,22222E+15	NFE2L2	201146_at	201146_at	TRUE	NFE2L2	Q16236|Q59HH2|Q9BZF8
114	USP34	USP34	USP34	USP34	ENSG00000115464	F:cysteine-type endopeptidase activity|F:ubiquitin thiolesterase activity|P:ubiquitin-dependent protein catabolism	4197|4221|6511	Peptidase_C19	IPR001394			Cluster 19	Clustered	108	USP34	207365_x_at|212065_s_at|212066_s_at|212980_at|215013_s_at	215013_s_at	TRUE	USP34	O60316|O94834|Q3B777|Q6P6C9|Q70CQ2|Q7L8P6|Q8N3T9|Q8TBW2
115	SEC61A1	SEC61A1	SEC61A1	SEC61A1	ENSG00000058262			SecY	IPR002208	Protein export|Cholera - Infection	3060|5110		Unclustered	2,22222E+15	SEC61A1	217716_s_at	217716_s_at	TRUE	SEC61A1	P61619
116	REEP5	REEP5	REEP5	REEP5	ENSG00000129625	C:integral to membrane	16021	TB2_DP1_HVA22	IPR004345				Unclustered	2,22222E+15	REEP5	208872_s_at|208873_s_at	208873_s_at	TRUE	REEP5	Q00765
117	FBXW12	FBXW12		FBXW12								Cluster 3	Clustered	4,44753E+15	FBXW12	215600_x_at	215600_x_at	TRUE	FBXW12	---
118	HLA-DPB1	HLA-DPB1		HLA-DPB1		C:integral to membrane|C:membrane|F:MHC class II receptor activity|P:antigen presentation, exogenous antigen|P:antigen processing, exogenous antigen via M...|P:immune response|P:detection of pest, pathogen or parasite|P:pathogenesis	16021|16020|45012|19884|19886|6955|9596|9405	Ig-like|Ig-like_fold|Ig_C1-set|Ig_MHC|MHC_II_a/b_N|MHC_II_b_N	IPR007110|IPR013783|IPR003597|IPR003006|IPR014745|IPR000353	Cell adhesion molecules (CAMs)|Antigen processing and presentation|Type I diabetes mellitus	4514|4612|4940	Cluster 5	Seed	30625	HLA-DPB1	201137_s_at	201137_s_at	TRUE	HLA-DPB1	P01916|P04232|P04440|P13763|Q14465|Q29670|Q29754|Q30030|Q30058|Q30059|Q30060|Q30174|Q30212|Q59GY1|Q5ENE0|Q5ENE1|Q5EP46|Q5EP47|Q5EP48|Q5EP49|Q5EP51|Q5EP53|Q5EP54|Q5EP56|Q5ISH4|Q5ISH5|Q5SQ73|Q5SUM7|Q95HA4|Q95HC1
119	212498_at	212498_at		212498_at									Unclustered	0	212498_at	212498_at	212498_at	TRUE	212498_at	---
120	SLC38A2	SLC38A2	SLC38A2	SLC38A2	ENSG00000134294	C:membrane|F:amino acid-polyamine transporter activity|F:oxygen transporter activity|P:amino acid transport|P:oxygen transport	16020|5279|5344|6865|15671	AA_transpt_TM	IPR013057				Unclustered	6,66667E+15	SLC38A2	220924_s_at	220924_s_at	TRUE	SLC38A2	Q6IA88|Q6ZMG2|Q8NHT5|Q96QD8|Q9HAV3|Q9NVA8|Q9P1G5
121	MASP1	MASP1	MASP1	MASP1	ENSG00000127241	F:serine-type endopeptidase activity|P:complement activation|C:extracellular region|F:calcium ion binding|F:peptidase activity|F:sugar binding|P:proteolysis	4252|6956|5576|5509|8233|5529|6508	Asx_hydroxyl_S|CUB|EGF_3|EGF_Ca_bd|EGF_like_reg|Pept_S1_Comp_Act|Peptidase_S1_S6|Peptidase_S1A|Sushi_SCR_CCP|HIG_1_N	IPR000152|IPR000859|IPR000742|IPR001881|IPR013032|IPR011361|IPR001254|IPR001314|IPR000436|IPR007667	Complement and coagulation cascades	4610		Unclustered	0	MASP1	206449_s_at|209327_s_at|209329_x_at|210680_s_at|213749_at	213749_at	TRUE	MASP1	P48740|Q5HYM1|Q68D21|Q6MZL2|Q8IUV8|Q96RS4|Q9NSY8|Q6IAI6|Q6PIM0|Q8IXL5|Q9P0T8|Q9Y3C1|Q9BW72
122	DES	DES	DES	DES	ENSG00000175084	C:intermediate filament|F:structural constituent of cytoskeleton|P:cytoskeleton organization and biogenesis|P:muscle contraction|P:regulation of heart contraction|F:structural molecule activity	5882|5200|7010|6936|8016|5198	filament_DNA_bd|IF	IPR006821|IPR001664	Cell Communication	1430		Unclustered	0	DES	202222_s_at|214027_x_at|216947_at	216947_at	TRUE	DES	P17661|Q45VM6|Q45VM7|Q45VM8|Q549R7|Q549R8|Q549R9|Q9H319|Q8NEM7|Q8WYR6
123	KIAA1840	KIAA1840	KIAA1840	KIAA1840	ENSG00000104133	F:catalytic activity|F:ferric iron binding|P:aromatic compound metabolism	3824|8199|6725	Glyco_hydro_1	IPR001360				Unclustered	0	KIAA1840	203513_at	203513_at	TRUE	KIAA1840	Q4VC11|Q58G86|Q69YG6|Q6NW01|Q8N270|Q8TBU9|Q96JI7|Q9H734
124	ZFR	ZFR	ZFR	ZFR	ENSG00000056097	C:nucleus|F:metal ion binding|F:nucleic acid binding|F:zinc ion binding	5634|46872|3676|8270	Znf_C2H2|Znf_U1|DZF	IPR007087|IPR003604|IPR006561				Unclustered	625	ZFR	201856_s_at|201857_at|213286_at|33148_at	33148_at	TRUE	ZFR	Q3B7X5|Q6P5A3|Q86UA0|Q96KR1|Q9H6V4|Q9NTI1|Q9Y687
125	C17orf62	C17orf62	C17orf62	C17orf62	ENSG00000178927								Unclustered	0	C17orf62	218130_at	218130_at	TRUE	C17orf62	Q8NEZ9|Q8WY47|Q969P4|Q96NR1|Q9BQA9
126	MT1M	MT1M	MT1M	MT1M	ENSG00000185647	F:metal ion binding	46872	GF_cysknot|Metallthion_|Metallthion_1|WAP	IPR002400|IPR003019|IPR000006|IPR008197			Cluster 4	Clustered	3,55556E+16	MT1M	216336_x_at|217546_at	217546_at	TRUE	MT1M	Q8N339|Q8TDC4
127	OAZ1	OAZ1	OAZ1	OAZ1	ENSG00000104904	F:ornithine decarboxylase inhibitor activity|P:polyamine biosynthesis|F:protein binding	8073|6596|5515	ODC_AZ|DUF842_euk	IPR002993|IPR008560				Unclustered	0	OAZ1	200077_s_at|215947_s_at|215952_s_at	215952_s_at	TRUE	OAZ1	P54368|Q2M222|Q96C01|Q96SS3
128	SPARCL1	SPARCL1	SPARCL1	SPARCL1	ENSG00000152583	F:calcium ion binding	5509	EF-Hand_type|EF_hand_Ca_bd|Fol_N|FOLN|Osteonectin|Prot_inh_Kazal	IPR011992|IPR002048|IPR003645|IPR015369|IPR001999|IPR002350				Unclustered	0	SPARCL1	200795_at	200795_at	TRUE	SPARCL1	Q14515|Q8N4S1
129	CALD1	CALD1	CALD1	CALD1	ENSG00000122786	C:cytoskeleton|F:actin binding|F:calmodulin binding|F:tropomyosin binding|P:cell motility|F:myosin binding|P:muscle contraction	5856|3779|5516|5523|6928|17022|6936	Caldesmon|Caldesmon_LSP|Ppantne_S	IPR006017|IPR006018|IPR006162				Unclustered	2,22222E+15	CALD1	201615_x_at|201616_s_at|201617_x_at|205525_at|212077_at|214880_x_at|215198_s_at|215199_at	215199_at	TRUE	CALD1	Q05682|Q5HY93|Q6P707|Q6PJM5|Q7Z2Y9|Q8NI76|Q9NYG1
130	HNRPM	HNRPM	HNRPM	HNRPM	ENSG00000099783	C:integral to plasma membrane|C:spliceosome complex|F:RNA binding|P:nuclear mRNA splicing, via spliceosome|F:nucleotide binding|C:ribonucleoprotein complex|F:nucleic acid binding|F:receptor activity	5887|5681|3723|398|166|30529|3676|4872	a_b_plait_nuc_bd|RRM_RNP1	IPR012677|IPR000504				Unclustered	0	HNRPM	200072_s_at|214918_at	214918_at	TRUE	HNRPM	P52272|Q59ES8|Q6P2D7|Q6PD71|Q7KYM9|Q8TCM5
131	LRRFIP1	LRRFIP1	LRRFIP1	LRRFIP1	ENSG00000124831								Unclustered	0	LRRFIP1	201861_s_at|201862_s_at|211452_x_at|215375_x_at	215375_x_at	TRUE	LRRFIP1	O75766|O75799|Q32MZ4|Q32MZ5|Q6PKG2|Q9BSL6|Q9H3B7|Q9Y607|---
132	MARCKS	MARCKS	MARCKS	MARCKS	ENSG00000155130	C:actin cytoskeleton|F:actin filament binding|F:calmodulin binding	15629|51015|5516	MARCKS	IPR002101				Unclustered	0	MARCKS	201668_x_at|201669_s_at|201670_s_at|213002_at	213002_at	TRUE	MARCKS	P29966|Q6NVI1
134	LOC56902	LOC56902	LOC56902	LOC56902	ENSG00000115946	F:RNA binding|F:nucleic acid binding	3723|3676	KH|KH_type_1	IPR004087|IPR004088			Cluster 10	Seed	16	LOC56902	203622_s_at|211697_x_at	211697_x_at	TRUE	LOC56902	Q53G13|Q8WVB8|Q9NRX1
135	SRP72	SRP72	SRP72	SRP72	ENSG00000174780	C:ribonucleoprotein complex|C:signal recognition particle (sensu Eukaryota)|F:binding	30529|5786|5488	SRP72_RNA_bd|TPR-like_helical|TPR_1|TPR_region	IPR013699|IPR011990|IPR001440|IPR013026	Protein export	3060		Unclustered	625	SRP72	208800_at|208801_at|208802_at|208803_s_at	208803_s_at	TRUE	SRP72	O76094|Q71V07|Q7Z3C0|Q86X80
136	MRP63	MRP63	MRP63	MRP63	ENSG00000173141								Unclustered	0	MRP63	204386_s_at|204387_x_at|221995_s_at	221995_s_at	TRUE	MRP63	Q9BQC6|---
137	SSR1	SSR1	SSR1	SSR1	ENSG00000124783	C:endoplasmic reticulum|C:integral to membrane|F:signal sequence binding|P:cotranslational protein targeting to membrane|P:positive regulation of cell proliferation	5783|16021|5048|6613|8284	TRAP_alpha	IPR005595				Unclustered	0	SSR1	200889_s_at|200890_s_at|200891_s_at	200891_s_at	TRUE	SSR1	P43307
138	AKT1	AKT1	AKT1	AKT1	ENSG00000142208	C:cytoplasm|F:identical protein binding|F:protein serine/threonine kinase activity|P:anti-apoptosis|P:G-protein coupled receptor protein signalin...|P:insulin receptor signaling pathway|P:insulin-like growth factor receptor signali...|P:nitric oxide biosynthesis|P:protein amino acid phosphorylation|P:response to heat|P:signal transduction|F:ATP binding|F:protein kinase activity	5737|42802|4674|6916|7186|8286|48009|6809|6468|9408|7165|5524|4672	Akt|PH|PH_type|Pkinase_C|Prot_kinase|Ser_thr_pkin_AS|Ser_thr_pkinase	IPR015744|IPR001849|IPR011993|IPR000961|IPR000719|IPR008271|IPR002290	MAPK signaling pathway|mTOR signaling pathway|Apoptosis|VEGF signaling pathway|Focal adhesion|Tight junction|Toll-like receptor signaling pathway|Jak-STAT signaling pathway|T cell receptor signaling pathway|B cell receptor signaling pathway|Fc epsilon RI signaling pathway|Insulin signaling pathway|Adipocytokine signaling pathway|Colorectal cancer|Pancreatic cancer|Glioma|Melanoma|Chronic myeloid leukemia	4010|4150|4210|4370|4510|4530|4620|4630|4660|4662|4664|4910|4920|5210|5212|5214|5218|5220		Unclustered	0	AKT1	207163_s_at	207163_s_at	TRUE	AKT1	P31749|Q6ZMW5|Q9BV07
139	PGLS	PGLS	PGLS	PGLS	ENSG00000130313	P:pentose-phosphate shunt	6098	Gluc_gal_isom|Phosphogluconlac	IPR006148|IPR005900	Pentose phosphate pathway	30		Unclustered	2,22222E+15	PGLS	218387_s_at|218388_at	218388_at	TRUE	PGLS	O95336
141	MT1E	MT1E	MT1E	MT1E	ENSG00000169715	C:cytoplasm|F:cadmium ion binding|F:copper ion binding|F:zinc ion binding	5737|46870|5507|8270	GF_cysknot|Metallthion_|Metallthion_1	IPR002400|IPR003019|IPR000006			Cluster 4	Clustered	3,55556E+16	MT1E	212859_x_at	212859_x_at	TRUE	MT1E	P04732
142	FNTA	FNTA	FNTA	FNTA	ENSG00000168522	C:cytoplasm|F:protein farnesyltransferase activity|F:protein geranylgeranyltransferase activity|P:protein amino acid farnesylation|P:protein amino acid geranylgeranylation|P:transforming growth factor beta receptor si...|F:transferase activity|F:protein prenyltransferase activity|P:protein amino acid prenylation	5737|4660|4661|18347|18348|7179|16740|8318|18346	Prenyl_trans|Prenyl_trans_a	IPR008940|IPR002088				Unclustered	0	FNTA	200090_at|209471_s_at	209471_s_at	TRUE	FNTA	P49354|Q53XJ9|Q59EX2
143	ZC3H11A	ZC3H11A	ZC3H11A	ZC3H11A	ENSG00000058673			Znf_CCCH	IPR000571				Unclustered	0	ZC3H11A	205788_s_at	205788_s_at	TRUE	ZC3H11A	O75152
144	RPL35	RPL35	RPL35	RPL35	ENSG00000136942	C:cytosolic large ribosomal subunit (sensu Eu...|C:nucleolus|F:mRNA binding|F:structural constituent of ribosome|P:protein biosynthesis	5842|5730|3729|3735|6412	Ribosomal_L29	IPR001854	Ribosome	3010	Cluster 11	Seed	16	RPL35	200002_at	200002_at	TRUE	RPL35	P42766|Q4VBY5
145	STAT1	STAT1	STAT1	STAT1	ENSG00000115415	C:cytoplasm|C:nucleus|F:hematopoietin/interferon-class (D200-domain...|F:protein binding|F:transcription factor activity|P:caspase activation|P:I-kappaB kinase/NF-kappaB cascade|P:regulation of progression through cell cycle|P:response to pest, pathogen or parasite|P:signal transduction|P:transcription from RNA polymerase II promoter|P:tyrosine phosphorylation of STAT protein|F:calcium ion binding|F:signal transducer activity|P:intracellular signaling cascade|P:regulation of transcription, DNA-dependent	5737|5634|5062|5515|3700|6919|7249|74|9613|7165|6366|7260|5509|4871|7242|6355	EF-Hand_type|SH2|STAT|STAT_alpha|STAT_DNA_bd|STAT_DNA_bd_sub|STAT_protein_interaction	IPR011992|IPR000980|IPR001217|IPR013800|IPR013801|IPR012345|IPR013799	Toll-like receptor signaling pathway|Jak-STAT signaling pathway|Pancreatic cancer	4620|4630|5212		Unclustered	0	STAT1	200887_s_at|209969_s_at|AFFX-HUMISGF3A/M97935_3_at|AFFX-HUMISGF3A/M97935_5_at|AFFX-HUMISGF3A/M97935_MA_at|AFFX-HUMISGF3A/M97935_MB_at	AFFX-HUMISGF3A/M97935_MB_at	TRUE	STAT1	P42224|Q53XW4|Q68D00
148	ATP6AP2	ATP6AP2	ATP6AP2	ATP6AP2	ENSG00000182220			Renin_rcpt	IPR012493				Unclustered	0	ATP6AP2	201442_s_at|201443_s_at|201444_s_at	201444_s_at	TRUE	ATP6AP2	O75787
149	C11orf2	C11orf2	C11orf2	C11orf2	ENSG00000149823	C:integral to membrane	16021						Unclustered	0	C11orf2	217969_at	217969_at	TRUE	C11orf2	Q9UID3
150	MT1L	MT1L	MT1L	MT1L	ENSG00000187193	F:metal ion binding|P:response to metal ion|F:electron carrier activity|F:iron ion binding|P:electron transport	46872|10038|9055|5506|6118	GF_cysknot|Metallthion_|Metallthion_1|4Fe4S_Fe_S_bd	IPR002400|IPR003019|IPR000006|IPR001450			Cluster 4	Clustered	3,55556E+16	MT1L	204326_x_at	204326_x_at	TRUE	MT1L	P80297|Q6PIN3|Q8N2W5|Q8WVB5
151	MT1F	MT1F		MT1F		C:cytoplasm|F:cadmium ion binding|F:copper ion binding|F:zinc ion binding	5737|46870|5507|8270	Metallthion_|Metallthion_1	IPR003019|IPR000006			Cluster 4	Clustered	3,55556E+16	MT1F	213629_x_at|217165_x_at	217165_x_at	TRUE	MT1F	P04733
